millis,lat,lon,sat,alt,data,hora,altp,p,ax,ay,az,gx,gy,gz,pqd
0.0,-22.590942,-42.764539,12,12.5,2025/6/2,13:37:46,2.36,1026.28,-1.09,19.61,2.81,0.23,-1.27,-0.32,0
0.241,-22.59094,-42.764538,12,17.7,2025/6/2,13:37:47,8.23,1025.57,2.18,19.61,2.99,0.87,2.32,-0.37,0
0.497,-22.59094,-42.764538,12,17.7,2025/6/2,13:37:47,16.98,1024.51,-5.26,19.61,1.46,-1.08,1.9,-0.07,0
0.746,-22.59094,-42.764538,12,17.7,2025/6/2,13:37:47,24.59,1023.58,-4.7,19.61,7.66,0.35,2.75,0.54,0
0.997,-22.59094,-42.764538,12,17.7,2025/6/2,13:37:47,40.35,1021.67,6.75,19.61,8.54,-0.02,0.5,0.35,0
1.285,-22.59094,-42.764538,12,17.7,2025/6/2,13:37:47,63.9,1018.82,1.89,9.88,-1.78,0.23,-0.37,0.23,0
1.52,-22.590869,-42.764568,12,16.5,2025/6/2,13:37:48,78.05,1017.11,-0.34,-0.87,-1.61,0.06,-0.9,0.09,0
1.758,-22.590869,-42.764568,12,16.5,2025/6/2,13:37:48,95.84,1014.96,0.51,-5.23,-0.64,-0.05,-0.99,0.07,0
1.999,-22.590869,-42.764568,12,16.5,2025/6/2,13:37:48,112.33,1012.98,1.19,-6.25,-1.63,-0.04,-0.94,0.04,0
2.237,-22.590869,-42.764568,12,16.5,2025/6/2,13:37:48,124.76,1011.48,0.6,-6.02,-1.3,-0.06,-0.88,-0.03,0
2.48,-22.590869,-42.764568,12,16.5,2025/6/2,13:37:49,139.83,1009.67,0.75,-5.49,-1.15,-0.01,-0.61,-0.06,0
2.731,-22.590869,-42.764568,12,16.5,2025/6/2,13:37:49,154.2,1007.95,0.35,-4.89,-0.76,-0.02,-0.5,-0.01,0
2.977,-22.590869,-42.764568,12,16.5,2025/6/2,13:37:49,163.88,1006.79,0.58,-4.44,-0.76,0.05,-0.32,-0.0,0
