millis,altp,ax,ay,az
0.000000,478.000000,0.000000,0.000000,0.000000
0.100000,478.028167,0.000000,2.141298,24.475145
0.200000,478.284562,-0.000000,3.812850,43.581071
0.300000,478.967346,-0.000000,4.957430,56.662642
0.400000,480.214368,-0.000564,6.152195,68.177654
0.500000,482.140500,-0.002846,7.669155,77.919445
0.600000,484.845226,0.006341,8.495385,87.392708
0.700000,488.423392,0.061347,9.325339,96.599935
0.800000,492.969289,0.228033,10.337778,107.095973
0.900000,498.592112,0.564408,11.876892,122.119045
1.000000,505.417581,1.026904,12.339569,123.966395
1.100000,513.475743,1.371994,12.120375,119.039435
1.200000,522.718959,1.275040,11.137016,109.263580
1.300000,533.050462,0.701758,9.483495,95.402867
1.400000,544.332276,0.047646,7.651044,77.938584
1.500000,556.394830,-0.282581,6.428885,61.044257
1.600000,569.072375,-0.136215,5.943131,48.148409
1.700000,582.233862,0.171289,5.333251,38.069361
1.800000,595.776112,0.337275,4.152747,28.550755
1.900000,609.605020,0.320157,3.003036,20.229307
2.000000,623.637064,0.027469,2.290617,12.951008
2.100000,637.797523,-0.157360,1.653317,4.815375
2.200000,652.006761,-0.067826,0.989750,-2.956705
2.300000,666.154569,0.057796,-0.563902,-16.981648
2.400000,680.135728,0.121051,-0.686715,-16.787305
2.500000,693.949011,0.079571,-0.812057,-16.596600
2.600000,707.596319,-0.017964,-0.874846,-16.416551
2.700000,721.079450,-0.129642,-0.861436,-16.248687
2.800000,734.400087,-0.208936,-0.795957,-16.090615
2.900000,747.559812,-0.227134,-0.702192,-15.939739
3.000000,760.560137,-0.202380,-0.614819,-15.792252
3.100000,773.402539,-0.146502,-0.566711,-15.644356
3.200000,786.088498,-0.081963,-0.554110,-15.496223
3.300000,798.619496,-0.039693,-0.576056,-15.347689
3.400000,810.997015,-0.023203,-0.608460,-15.201286
3.500000,823.222517,-0.034416,-0.635975,-15.058616
3.600000,835.297431,-0.064174,-0.653281,-14.920242
3.700000,847.223137,-0.090970,-0.653888,-14.786900
3.800000,859.000969,-0.112891,-0.626661,-14.659795
3.900000,870.632200,-0.135625,-0.590016,-14.536810
4.000000,882.118061,-0.143165,-0.564184,-14.415532
4.100000,893.459765,-0.129459,-0.542418,-14.296615
4.200000,904.658501,-0.107634,-0.521098,-14.180416
4.300000,915.715430,-0.091952,-0.502148,-14.066630
4.400000,926.631693,-0.085919,-0.498909,-13.953524
4.500000,937.408420,-0.078428,-0.509807,-13.841194
4.600000,948.046732,-0.066774,-0.514285,-13.732106
4.700000,958.547720,-0.066982,-0.508557,-13.626656
4.800000,968.912441,-0.082177,-0.506141,-13.523114
4.900000,979.141928,-0.094770,-0.507489,-13.421389
5.000000,989.237200,-0.101515,-0.501149,-13.322867
5.100000,999.199240,-0.105541,-0.488432,-13.227344
5.200000,1009.029004,-0.109121,-0.471490,-13.134512
5.300000,1018.727421,-0.111482,-0.456161,-13.043572
5.400000,1028.295402,-0.111606,-0.443306,-12.954349
5.500000,1037.733837,-0.108279,-0.432934,-12.866781
5.600000,1047.043604,-0.103563,-0.424600,-12.780876
5.700000,1056.225560,-0.097346,-0.419394,-12.696429
5.800000,1065.280551,-0.090383,-0.413867,-12.613868
5.900000,1074.209401,-0.086698,-0.405799,-12.533474
6.000000,1083.012915,-0.089229,-0.401259,-12.454359
6.100000,1091.691885,-0.093153,-0.401037,-12.376352
6.200000,1100.247090,-0.094261,-0.399679,-12.300179
6.300000,1108.679291,-0.093224,-0.395123,-12.226106
6.400000,1116.989229,-0.093107,-0.387377,-12.154121
6.500000,1125.177625,-0.097187,-0.378479,-12.083914
6.600000,1133.245180,-0.103690,-0.370360,-12.015166
6.700000,1141.192584,-0.109218,-0.366745,-11.947258
6.800000,1149.020513,-0.108941,-0.364276,-11.880626
6.900000,1156.729635,-0.105994,-0.358713,-11.815908
7.000000,1164.320595,-0.103419,-0.350551,-11.753031
7.100000,1171.794025,-0.103308,-0.341104,-11.691785
7.200000,1179.150535,-0.105511,-0.332970,-11.631733
7.300000,1186.390727,-0.108856,-0.327501,-11.572610
7.400000,1193.515193,-0.109931,-0.323719,-11.514513
7.500000,1200.524512,-0.109355,-0.320856,-11.457536
7.600000,1207.419254,-0.106994,-0.318051,-11.401794
7.700000,1214.199978,-0.104609,-0.313069,-11.347665
7.800000,1220.867223,-0.103669,-0.307455,-11.294884
7.900000,1227.421519,-0.104677,-0.301924,-11.243313
8.000000,1233.863381,-0.107206,-0.297229,-11.192796
8.100000,1240.193314,-0.110551,-0.294656,-11.143063
8.200000,1246.411816,-0.112638,-0.292973,-11.094285
8.300000,1252.519374,-0.113435,-0.290442,-11.046757
8.400000,1258.516464,-0.113713,-0.286752,-11.000532
8.500000,1264.403547,-0.114307,-0.282104,-10.955577
8.600000,1270.181073,-0.115367,-0.277349,-10.911717
8.700000,1275.849481,-0.116830,-0.272682,-10.868897
8.800000,1281.409200,-0.118554,-0.268826,-10.826954
8.900000,1286.860648,-0.120466,-0.265702,-10.785879
9.000000,1292.204237,-0.121700,-0.262890,-10.745720
9.100000,1297.440368,-0.122111,-0.260353,-10.706459
9.200000,1302.569433,-0.122328,-0.257562,-10.668204
9.300000,1307.591816,-0.122990,-0.254582,-10.630945
9.400000,1312.507888,-0.123953,-0.251790,-10.594586
9.500000,1317.318014,-0.125093,-0.248946,-10.559161
9.600000,1322.022547,-0.126923,-0.246120,-10.524659
9.700000,1326.621833,-0.129285,-0.243678,-10.490981
9.800000,1331.116209,-0.132023,-0.242320,-10.457942
9.900000,1335.506005,-0.134477,-0.242046,-10.425496
10.000000,1339.791545,-0.136008,-0.242019,-10.393795
10.100000,1343.973146,-0.136725,-0.241416,-10.363027
10.200000,1348.051117,-0.137036,-0.240290,-10.333184
10.300000,1352.025754,-0.137409,-0.238836,-10.304231
10.400000,1355.897349,-0.138138,-0.236980,-10.276198
10.500000,1359.666181,-0.139565,-0.235120,-10.248994
10.600000,1363.332523,-0.141686,-0.233745,-10.222486
10.700000,1366.896639,-0.143847,-0.232804,-10.196639
10.800000,1370.358788,-0.145983,-0.232453,-10.171390
10.900000,1373.719223,-0.148055,-0.232484,-10.146776
11.000000,1376.978189,-0.149975,-0.233025,-10.122742
11.100000,1380.135928,-0.151614,-0.233978,-10.099287
11.200000,1383.192673,-0.152736,-0.235407,-10.076354
11.300000,1386.148654,-0.153284,-0.236912,-10.054034
11.400000,1389.004095,-0.153428,-0.238517,-10.032317
11.500000,1391.759211,-0.153185,-0.240076,-10.011235
11.600000,1394.414215,-0.152778,-0.241476,-9.990833
11.700000,1396.969310,-0.152309,-0.242781,-9.971093
11.800000,1399.424694,-0.151831,-0.244149,-9.951965
11.900000,1401.780557,-0.151319,-0.245631,-9.933423
12.000000,1404.037086,-0.150700,-0.247246,-9.915441
12.100000,1406.194459,-0.149981,-0.249079,-9.897986
12.200000,1408.252853,-0.149086,-0.251150,-9.881032
12.300000,1410.212436,-0.147894,-0.253494,-9.864539
12.400000,1412.073373,-0.146313,-0.256046,-9.848500
12.500000,1413.835824,-0.144319,-0.258741,-9.832922
12.600000,1415.499946,-0.141830,-0.261469,-9.817807
12.700000,1417.065890,-0.138907,-0.264233,-9.803158
12.800000,1418.533802,-0.135548,-0.266965,-9.788978
12.900000,1419.903823,-0.131782,-0.269674,-9.775256
13.000000,1421.176092,-0.127611,-0.272349,-9.761976
13.100000,1422.350740,-0.123099,-0.275018,-9.749116
13.200000,1423.427897,-0.118298,-0.277743,-9.736637
13.300000,1424.407687,-0.113238,-0.280616,-9.724469
13.400000,1425.290233,-0.107994,-0.283785,-9.712521
13.500000,1426.075653,-0.102648,-0.287466,-9.700662
13.600000,1426.764067,-0.097250,-0.291921,-9.688706
13.700000,1427.355593,-0.091850,-0.297490,-9.676399
13.800000,1427.850357,-0.086506,-0.304579,-9.663419
13.900000,1428.248487,-0.081239,-0.313679,-9.649339
14.000000,1428.550125,-0.076058,-0.325347,-9.633635
14.100000,1428.755429,-0.070914,-0.340144,-9.615671
14.200000,1428.864578,-0.065722,-0.358648,-9.594686
14.300000,1428.877784,-0.060358,-0.381386,-9.569826
14.400000,1428.795295,-0.054639,-0.408708,-9.540149
14.500000,1428.617410,-0.048387,-0.440765,-9.504681
14.600000,1428.344484,-0.041449,-0.477385,-9.462423
14.700000,1427.976940,-0.033774,-0.517999,-9.412439
14.800000,1427.515279,-0.025467,-0.561593,-9.353852
14.900000,1426.960086,-0.016907,-0.606685,-9.285992
15.000000,1426.312043,-0.008850,-0.651335,-9.208452
15.100000,1425.571922,-0.002497,-0.693038,-9.121205
15.200000,1424.740597,0.000402,-0.729387,-9.024762
15.300000,1423.819032,-0.002305,-0.757774,-8.920378
15.400000,1422.808267,-0.013279,-0.775824,-8.810246
15.500000,1421.709402,-0.035533,-0.781877,-8.697554
15.600000,1420.523560,-0.071999,-0.775169,-8.586718
15.700000,1419.251845,-0.125655,-0.756013,-8.483315
15.800000,1417.899468,2.331740,-25.396575,29.689082
15.900000,1416.676285,1.445297,-15.779595,16.902396
16.000000,1415.626611,1.007297,-10.996649,10.682529
16.100000,1414.685925,0.746800,-8.152378,7.061682
16.200000,1413.816981,0.578857,-6.318643,4.804117
16.300000,1412.996695,0.463638,-5.060579,3.327806
16.400000,1412.210040,0.380544,-4.153291,2.329419
16.500000,1411.446960,0.318192,-3.472491,1.639573
16.600000,1410.700420,0.269808,-2.944218,1.155465
16.700000,1409.965562,0.231228,-2.523013,0.812700
16.800000,1409.238922,0.199754,-2.179404,0.568662
16.900000,1408.518045,0.173614,-1.894044,0.394786
17.000000,1407.801161,0.151578,-1.653512,0.270957
17.100000,1407.087007,0.132784,-1.448376,0.182989
17.200000,1406.374689,0.116605,-1.271799,0.120751
17.300000,1405.663621,0.102593,-1.118879,0.077344
17.400000,1404.953359,0.090389,-0.985711,0.047448
17.500000,1404.243576,0.079716,-0.869255,0.027102
17.600000,1403.534059,0.070354,-0.767117,0.013509
17.700000,1402.824665,0.062123,-0.677316,0.004626
17.800000,1402.115319,0.054875,-0.598257,-0.000897
17.900000,1401.405968,0.048486,-0.528568,-0.004090
18.000000,1400.696576,0.042850,-0.467092,-0.005715
18.100000,1399.987128,0.037876,-0.412845,-0.006292
18.200000,1399.277614,0.033483,-0.364939,-0.006216
18.300000,1398.568034,0.029601,-0.322611,-0.005762
18.400000,1397.858391,0.026170,-0.285193,-0.005113
18.500000,1397.148693,0.023136,-0.252112,-0.004384
18.600000,1396.438951,0.020455,-0.222888,-0.003622
18.700000,1395.729176,0.018086,-0.197057,-0.002862
18.800000,1395.019377,0.015986,-0.174172,-0.002136
18.900000,1394.309560,0.014122,-0.153851,-0.001465
19.000000,1393.599729,0.012472,-0.135867,-0.000861
19.100000,1392.889889,0.011017,-0.120007,-0.000332
19.200000,1392.180045,0.009733,-0.106023,0.000126
19.300000,1391.470202,0.008599,-0.093658,0.000519
19.400000,1390.760363,0.007596,-0.082732,0.000851
19.500000,1390.050531,0.006715,-0.073133,0.001125
19.600000,1389.340708,0.005944,-0.064737,0.001348
19.700000,1388.630898,0.005270,-0.057386,0.001530
19.800000,1387.921104,0.004676,-0.050917,0.001681
19.900000,1387.211328,0.004148,-0.045166,0.001811
20.000000,1386.501574,0.003673,-0.039995,0.001931
20.100000,1385.791843,0.003247,-0.035351,0.002041
20.200000,1385.082133,0.002865,-0.031195,0.002143
20.300000,1384.372446,0.002525,-0.027492,0.002238
20.400000,1383.662782,0.002223,-0.024205,0.002326
20.500000,1382.953140,0.001957,-0.021299,0.002403
20.600000,1382.243520,0.001722,-0.018744,0.002468
20.700000,1381.533922,0.001516,-0.016505,0.002516
20.800000,1380.824345,0.001337,-0.014551,0.002545
20.900000,1380.114790,0.001180,-0.012846,0.002556
21.000000,1379.405257,0.001043,-0.011354,0.002553
21.100000,1378.695747,0.000922,-0.010039,0.002538
21.200000,1377.986260,0.000815,-0.008866,0.002517
